name,console,genre,region,publisher,views,download,released,rate,site,link
Altered Space: A 3D Alien Adventure,Game Boy (GB),puzzle,EU,Sony Imagesoft,652,227, September 1991,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/altered-space-a-3-d-alien-adventure.html
Tetris Blast,Game Boy (GB),other,EU,Nintendo,601,227,17 March 1995,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/tetris-blast.html
Mystical Ninja Starring Goemon,Game Boy (GB),action,EU,Konami,587,225,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mystical-ninja-starring-goemon-2.html
Jurassic Park Part 2 – The Chaos Continues,Game Boy (GB),action,WW,Ocean,542,220,1994,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/jurassic-park-part-2-the-chaos-continues-2.html
Nemesis,Game Boy (GB),other,EU,Konami,612,218,"February 23, 1990",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/nemesis.html
Alleyway,Game Boy (GB),action,WW,Nintendo,606,214,None,1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/alleyway.html
Robocop Versus the Terminator,Game Boy (GB),action,WW,Virgin Interactive Entertainment,508,204,August 1994,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/robocop-versus-the-terminator.html
Asteroids,Game Boy (GB),other,EU,Taito,527,203, November 1979,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/asteroids-2.html
QIX,Game Boy (GB),arcade,EU,Nintendo,695,200,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/qix.html
Pinball: Revenge of the ‘Gator,Game Boy (GB),arcade,EU,Nintendo,583,188,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/pinball-revenge-of-the-gator.html
Micro Machines,Game Boy (GB),racing,EU,Ocean Software,569,187,1991,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/micro-machines.html
Aero Star,Game Boy (GB),role-playing,EU,Vic Tokai,565,184,"September, 1991",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/aero-star.html
Judge Dredd,Game Boy (GB),action,WW,Acclaim Entertainment,649,182,"June 16, 1995",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/judge-dredd.html
Blaster Master Boy,Game Boy (GB),action,US,SunSoft,507,177,1991,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/blaster-master-boy.html
The Punisher: The Ultimate Payback,Game Boy (GB),other,WW,Acclaim Entertainment,713,177,1991,1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/the-punisher-the-ultimate-payback.html
Mole Mania,Game Boy (GB),puzzle,EU,Nintendo,603,175,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mole-mania.html
NBA Jam,Game Boy (GB),sport,EU,Acclaim,526,173,November 1994,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/nba-jam-3.html
