name,console,genre,region,publisher,views,download,released,rate,site,link
Mortal Kombat: Deadly Alliance,XBOX,fighting,WW,Midway Games,"3,724","1,658","ovember 18, 2002",3.6/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/mortal-kombat-deadly-alliance-2.html
Outrun 2,XBOX,racing,WW,Microsoft Game Studios,"2,839","1,655","October 1, 2004",3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/outrun-2.html
Star Wars: Battlefront II,XBOX,action,WW,LucasArts,"2,709","1,654","October 31, 2005",3.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/star-wars-battlefront-ii-2.html
Half Life 2,XBOX,other,WW,Valve Corporation,"2,991","1,615","November 16, 2004",4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/half-life-2.html
Max Payne 2: The Fall of Max Payne,XBOX,other,WW,Rockstar Games,"2,348","1,610",14 October 2003,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/max-payne-2-the-fall-of-max-payne.html
FIFA Street 2,XBOX,sport,WW,EA Sports BIG,"2,996","1,597","February 28, 2006",5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/fifa-street-2-2.html
Prince of Persia: The Sands of Time,XBOX,"action,adventure",WW,Ubisoft,"2,631","1,557"," October 28, 2003",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/prince-of-persia-the-sands-of-time-3.html
The Chronicles of Riddick: Escape From Butcher Bay,XBOX,"action,adventure",WW,Vivendi Universal Games,"2,237","1,537","June 1, 2004",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/the-chronicles-of-riddick-escape-from-butcher-bay.html
Mission: Impossible – Operation Surma,XBOX,"action,adventure",WW,Atari,"2,493","1,492","December 2, 2003",4/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/mission-impossible-operation-surma.html
Spy vs Spy,XBOX,platformer,WW,Global Star Software,"3,727","1,482","April 6, 2005",3.9/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/spy-vs-spy.html
Lord of The Rings: The Return of The King,XBOX,role-playing,WW,EA Games,"2,387","1,428","November 3, 2003",3.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/lord-of-the-rings-the-return-of-the-king.html
Jade Empire,XBOX,"action,role-playing",WW,Microsoft Game Studios,"2,214","1,374","April 12, 2005",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/jade-empire.html
Sniper Elite,XBOX,other,WW,MC2 France,"1,726","1,343",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/sniper-elite-2.html
Metal Gear Solid 2: Substance,XBOX,action,WW,Konami,"2,079","1,336","November 5, 2002",4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/metal-gear-solid-2-substance-2.html
WWE Raw 2,XBOX,sport,WW,THQ,"2,964","1,293","September 16, 2003",3.3/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/wwe-raw-2.html
Oddworld Stranger’s Wrath,XBOX,"action,adventure",WW,EA Games,"2,555","1,272","January 25, 2005",4/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/oddworld-strangers-wrath.html
Tony Hawk Underground 2,XBOX,sport,WW,Activision,"2,310","1,268","October 4, 2004",3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/tony-hawk-underground-2.html
Elder Scrolls: Morrowind,XBOX,"action,role-playing",WW,Bethesda Softworks,"2,856","1,259","June 6, 2002",3.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/elder-scrolls-morrowind.html
Buffy the Vampire Slayer,XBOX,"action,adventure",WW,Electronic Arts,"2,692","1,246"," August 18, 2002",3.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/buffy-the-vampire-slayer.html
Tom Clancy’s Splinter Cell: Chaos Theory,XBOX,"action,adventure",WW,Ubisoft,"2,250","1,242",None,4.2/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/tom-clancys-splinter-cell-chaos-theory.html
SSX 3,XBOX,sport,WW,EA Sports BIG,"1,975","1,240","October 20, 2003",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/ssx-3.html
Brute Force,XBOX,action,WW,Microsoft Game Studios,"3,111","1,237","May 27, 2003",2.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/brute-force.html
The SpongeBob SquarePants Movie,XBOX,"adventure,platformer",WW,THQ,"2,795","1,237","October 27, 2004",3.5/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/the-spongebob-squarepants-movie-2.html
Tony Hawk’s Pro Skater 4,XBOX,sport,WW,Activision O2,"1,964","1,234","October 23, 2002",4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/tony-hawks-pro-skater-4-2.html
The Elder Scrolls III: Morrowind,XBOX,"action,role-playing",WW,Bethesda Softworks,"2,119","1,218","June 6, 2002",4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/the-elder-scrolls-iii-morrowind.html
Oddworld: Munch’s Oddysee,XBOX,platformer,WW,Infogrames,"2,333","1,205","November 15, 2001",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox/oddworld-munchs-oddysee.html
Destroy All Humans,XBOX,"action,adventure",WW,THQ,"2,028","1,178",None,3.6/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/destroy-all-humans.html
Batman Begins,XBOX,"action,adventure",WW,EA Games,"2,432","1,158","June 14, 2005",4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/batman-begins-3.html
