name,console,genre,region,publisher,views,download,released,rate,site,link
Tomodachi Collection,Nintendo DS,arcade,JP,Nintendo,"1,777",786,18th Jun 2009 (JPN),4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/tomodachi-collection.html
Harvest Moon DS: The Tale of Two Towns,Nintendo DS,simulator,US,Natsume,"1,594",784,None,3/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/harvest-moon-ds-the-tale-of-two-towns.html
Jackass the Game DS,Nintendo DS,"adventure,sport",EU,Red Mile Entertainment,"1,394",766,None,2.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/jackass-the-game-ds.html
Picross DS,Nintendo DS,puzzle,EU,Nintendo,"1,250",764,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/picross-ds.html
Custom Robo Arena,Nintendo DS,role-playing,EU,Nintendo,"1,434",761,None,4.1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/custom-robo-arena.html
Cartoon Network Racing,Nintendo DS,other,EU,The Game Factory,"1,286",761,None,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/cartoon-network-racing.html
LEGO Rock Band,Nintendo DS,other,EU,Warner Bros,"1,361",756,None,3/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/lego-rock-band-2.html
Knights in the Nightmare,Nintendo DS,role-playing,US,Atlus,"1,729",755,2nd Jun 2009 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/knights-in-the-nightmare-2.html
Pro Evolution Soccer 6,Nintendo DS,sport,EU,Konami,"1,344",753,None,4.4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pro-evolution-soccer-6-2.html
FIFA Street 2,Nintendo DS,sport,EU,Electronic Arts,"1,122",752,None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/fifa-street-2-4.html
Etrian Odyssey III: The Drowned City,Nintendo DS,role-playing,US,Atlus,"1,560",743,21st Sep 2010 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/etrian-odyssey-iii-the-drowned-city.html
Sands of Destruction,Nintendo DS,role-playing,US,SEGA,"1,753",742,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/sands-of-destruction.html
Nostalgia,Nintendo DS,role-playing,US,Ignition Entertainment,"1,679",729,27th Oct 2009 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/nostalgia.html
Moto Racer DS,Nintendo DS,racing,EU,Ascaron Entertainment,"1,165",728,28th Nov 2008 (UK/EU),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/moto-racer-ds.html
Legacy of Ys: Books I &amp; II,Nintendo DS,"adventure,role-playing",US,Atlus,"1,579",727,24th Feb 2009 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/legacy-of-ys-books-i-ii.html
Contact,Nintendo DS,action,EU,Atlus,"1,427",717,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/contact.html
Spider-Man: Friend Or Foe,Nintendo DS,"action,adventure",EU,Activision,"1,544",708,None,4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/spider-man-friend-or-foe-2.html
Spore Hero Arena,Nintendo DS,other,EU,Electronic Arts,"1,262",690,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/spore-hero-arena.html
Bejeweled Twist,Nintendo DS,puzzle,US,PopCap,"1,054",676,18th Jan 2010 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/bejeweled-twist.html
Lego Friends,Nintendo DS,other,US,Warner Bros. Interactive,"1,651",676,12th Dec 2013 (USA),3/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/lego-friends-2.html
"999: Nine Hours, Nine Persons, Nine Doors",Nintendo DS,"adventure,puzzle",US,Aksys Games,"1,604",669,None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/999-nine-hours-nine-persons-nine-doors.html
Harvest Moon DS Cute,Nintendo DS,"role-playing,simulator",JP,Natsume,"1,565",660,None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/harvest-moon-ds-cute.html
Project Rub,Nintendo DS,simulator,EU,SEGA,"2,033",660,None,3.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/project-rub.html
Touch the Dead,Nintendo DS,other,US,Eidos Interactive,"1,357",655,16th May 2007 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/touch-the-dead.html
Uno 52,Nintendo DS,other,US,Destination Software,"1,134",651,3rd Oct 2006 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/uno-52.html
Game &amp; Watch Collection,Nintendo DS,action,EU,Nintendo,"1,378",647,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/game-watch-collection.html
Disney Planes,Nintendo DS,other,US,Disney Interactive Studios,"1,644",642,6th Aug 2013 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/disney-planes.html
Monster Rancher DS,Nintendo DS,adventure,US,Tecmo,"1,481",620,3rd Aug 2010 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/monster-rancher-ds.html
Catz,Nintendo DS,simulator,EU,Ubisoft,"1,105",619,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/catz.html
Arkanoid DS,Nintendo DS,"action,puzzle",EU,Square Enix,"1,157",613,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/arkanoid-ds.html
Harvest Moon: Frantic Farming,Nintendo DS,puzzle,EU,Natsume,"1,273",611,None,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/harvest-moon-frantic-farming.html
G-Force,Nintendo DS,other,US,Disney Interactive Studios,"1,057",610,21st Jul 2009 (USA),3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/g-force-2.html
Disney Friends,Nintendo DS,other,EU,Disney Interactive Studios,"1,696",603,19th Oct 2007 (UK/EU),3.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/disney-friends.html
Dogz,Nintendo DS,simulator,EU,Ubisoft,"1,133",602,None,3/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/dogz-2.html
Garfield’s Nightmare,Nintendo DS,other,EU,The Game Factory,"1,060",598,9th Mar 2007 (UK/EU),2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/garfields-nightmare.html
Zuma’s Revenge!,Nintendo DS,other,US,PopCap Games,"1,268",600,21st Feb 2012 (USA),5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/zumas-revenge.html
Peppa Pig,Nintendo DS,other,EU,Pinnacle,"1,353",597,28th Nov 2008 (UK/EU),3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/peppa-pig.html
Colin McRae: Dirt 2,Nintendo DS,other,US,Codemasters,973,589,8th Sep 2009 (USA),4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/colin-mcrae-dirt-2-2.html
Pac-Man World 3,Nintendo DS,other,US,Namco,"1,069",589,7th Dec 2005 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pac-man-world-3-4.html
Lunar Dragon Song,Nintendo DS,role-playing,US,Rising Star Games,"1,459",582,1st Nov 2005 (UK/EU),3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/lunar-dragon-song.html
Learn With Pokémon: Typing Adventure,Nintendo DS,other,EU,Nintendo,"1,481",582,None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/learn-with-pokemon-typing-adventure.html
C.O.R.E.,Nintendo DS,other,US,Graffiti,"1,304",574,7th Jul 2009 (USA),4.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/c-o-r-e.html
