name,console,genre,region,publisher,views,download,released,rate,site,link
Alfred Chicken,NES,platformer,EU,Mindscape,"1,300",855,None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/alfred-chicken.html
Chip ‘n Dale Rescue Rangers,NES,platformer,EU,Capcom,"1,104",852,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/chip-n-dale-rescue-rangers.html
Ninja Gaiden,NES,"action,adventure",US,Tecmo,"1,275",849,"March 2, 2004",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ninja-gaiden-2.html
Mega Man 4,NES,"action,platformer",EU,Capcom,"1,218",837,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man-4.html
Mega Man 6,NES,"action,platformer",US,Capcom,"1,238",828,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man-6.html
Disney’s Aladdin,NES,"action,platformer",US,Disney Software,"1,688",826,"November 11, 1993",4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/disneys-aladdin.html
Tiny Toon Adventures,NES,platformer,EU,Konami,"1,192",809,None,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/tiny-toon-adventures.html
Contra Force,NES,action,US,Konami,"1,370",810,"September 30, 1992",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/contra-force.html
Adventure Island,NES,platformer,EU,Hudson Soft,"1,367",804,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/adventure-island-2.html
Adventure Island II,NES,platformer,EU,Hudson Soft,"1,249",801,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/adventure-island-ii.html
Mega Man 5,NES,"action,platformer",EU,Capcom,"1,261",794,"December 4, 1992",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man-5.html
Donkey Kong Classics,NES,"action,platformer",EU,Nintendo,"1,326",772,1988,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/donkey-kong-classics.html
Double Dragon 3: The Rosetta Stone,NES,action,AU,Acclaim Entertainment,"1,231",766,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/double-dragon-3-the-rosetta-stone.html
Bomberman II,NES,puzzle,EU,Hudson Soft,"1,236",737,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/bomberman-ii.html
Spy vs. Spy,NES,other, EU,Kemco,922,658,1984,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/spy-vs-spy-3.html
Bomberman,NES,"other,strategy",US,Hudson Soft,"1,154",648,July 1983,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/bomberman-5.html
Duck Tales 2,NES,platformer,EU,Capcom,"1,187",646,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/duck-tales-2.html
Ghosts’n Goblins,NES,platformer,EU,Capcom,"1,081",641,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ghostsn-goblins.html
Gradius,NES,other,EU,Konami,973,635,"May 29, 1985",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/gradius.html
Mario Bros.,NES,platformer,EU,Nintendo,"1,324",620,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mario-bros.html
Adventure Island 3,NES,platformer,US,Hudson Soft,"1,163",610,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/adventure-island-3.html
Darkwing Duck,NES,action,EU,Capcom,"1,339",603,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/darkwing-duck-2.html
Boulder Dash,NES,puzzle,EU,First Star Software,651,599,June 1990,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/boulder-dash.html
RoboCop,NES,"action,other",EU,Data East Corporation,974,596,1988,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/robocop-4.html
Chip ‘n Dale Rescue Rangers 2,NES,platformer,EU,Capcom,"1,126",596,None,3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/chip-n-dale-rescue-rangers-2.html
Galaga,NES,other,EU,Midway,"1,224",584,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/galaga.html
Yoshi,NES,puzzle,EU,Nintendo,"1,138",581,"December 14, 1991",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/yoshi-2.html
Double Dragon II: The Revenge,NES,action,EU,Acclaim Entertainment,"1,164",576,December 1988,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/double-dragon-ii-the-revenge.html
Ninja Gaiden III: The Ancient Ship of Doom,NES,"action,platformer",EU,Tecmo,"1,040",563,"June 21, 1991",3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ninja-gaiden-iii-the-ancient-ship-of-doom.html
Spider-Man: Return of the Sinister Six,NES,"action,adventure",EU,LJN,"1,105",541,October 1992,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/spider-man-return-of-the-sinister-six.html
Ultima IV: Quest of the Avatar,NES,role-playing,US,FCI,795,535,"March 1, 1990",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ultima-iv-quest-of-the-avatar.html
Mega Man,NES,"action,platformer",EU,U.S. Gold,"1,048",529,"December 17, 1987",3.7/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man-2.html
