name,console,genre,region,publisher,views,download,released,rate,site,link
Mario and Donkey Kong: Minis on the Move,Nintendo 3DS,puzzle,WW,Nintendo,"4,497","2,208"," May 9, 2013",3.5/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-and-donkey-kong-minis-on-the-move.html
LEGO Friends,Nintendo 3DS,adventure,EU,Warner Bros. Interactive,"2,381","2,191",None,2.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/lego-friends.html
Disney Art Academy,Nintendo 3DS,other,EU,Nintendo,"3,717","2,153",None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/disney-art-academy.html
Monster High: 13 Wishes,Nintendo 3DS,"action,adventure",EU,Little Orbit,"3,177","2,144",None,3.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/monster-high-13-wishes.html
Sega 3D Fukkoku Archives 3: Final Stage,Nintendo 3DS,other,JP,SEGA,"3,953","2,101","December 22, 2016",5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/sega-3d-fukkoku-archives-3-final-stage.html
Nintendo presents: New Style Boutique 2,Nintendo 3DS,other,EU,Nintendo,"3,128","2,092",None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/nintendo-presents-new-style-boutique-2-fashion-forward.html
Driver: Renegade,Nintendo 3DS,"action,racing",WW,Ubisoft,"3,778","2,092","September 1, 2011",4.5/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/driver-renegade.html
Aikatsu Stars! My Special Appeal,Nintendo 3DS,other,JP,Bandai Namco Games,"3,354","2,082","November 24, 2016",4.4/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/aikatsu-stars-my-special-appeal.html
Return to Popolocrois: A Story of Seasons Fairytale,Nintendo 3DS,"adventure,simulator",EU,Marvelous AQL,"3,388","2,061",None,4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/return-to-popolocrois-a-story-of-seasons-fairytale.html
Lord Of Magna: Maiden Heaven,Nintendo 3DS,role-playing,US,XSEED Games,"3,823","2,062",2nd Jun 2015 (USA),2.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/lord-of-magna-maiden-heaven.html
Go! Princess PreCure: Sugar Oukoku to 6-nin no Princess!,Nintendo 3DS,"N,o,n,e",None,None,670,"2,053",None,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/go-princess-precure-sugar-oukoku-to-6-nin-no-princess.html
