name,console,genre,region,publisher,views,download,released,rate,site,link
Supercross 2000,Nintendo 64,racing,EU,Electronic Arts,859,621,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/supercross-2000.html
Aidyn Chronicles – The First Mage,Nintendo 64,"adventure,role-playing",EU,THQ,996,621,2001,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/aidyn-chronicles-the-first-mage.html
V-Rally Edition 99,Nintendo 64,racing,EU,Infogrames,882,605,1999,1/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/v-rally-edition-99.html
BattleTanx,Nintendo 64,"other,simulator",,The 3DO Company,885,603,1998,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/battletanx.html
WCW Vs. NWo – World Tour,Nintendo 64,sport,EU,THQ,"1,171",593,1997,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/wcw-vs-nwo-world-tour.html
Tigger’s Honey Hunt,Nintendo 64,"adventure,platformer",EU,NewKidCo,964,590,2000,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/tiggers-honey-hunt.html
Neon Genesis Evangelion,Nintendo 64,"arcade,fighting",JP,Bandai,"1,333",585,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/neon-genesis-evangelion.html
International Superstar Soccer 64,Nintendo 64,sport,EU,Konami,963,579,1996,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/international-superstar-soccer-64.html
Duck Dodgers Starring Daffy Duck,Nintendo 64,"adventure,platformer",EU,Infogrames,"1,135",577,2000,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/duck-dodgers-starring-daffy-duck.html
Monster Truck Madness 64,Nintendo 64,racing,EU,Rockstar Games,975,578,1999,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/monster-truck-madness-64.html
