name,console,genre,region,publisher,views,download,released,rate,site,link
J-STARS Victory VS+,PS Vita,fighting,WW,BANDAI NAMCO Entertainment,"5,409","3,479"," March 19, 2014",3.5/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/j-stars-victory-vs.html
Assassin’s Creed Chronicles,PS Vita,"action,adventure",EU,Ubisoft,"4,208","3,291",None,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/assassins-creed-chronicles.html
Soul Sacrifice,PS Vita,"action,role-playing",WW,Sony Computer Entertainment,"4,306","3,233",2013,3.7/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/soul-sacrifice.html
Dragon Ball Z: Battle of Z,PS Vita,"action,role-playing",WW,Bandai Namco Games,"7,214","3,026","January 23, 2014",3.7/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/dragon-ball-z-battle-of-z.html
Ninja Gaiden Sigma 2 Plus,PS Vita,"action,adventure",EU,Tecmo Koei Games,"5,097","3,017","February 26, 2013",4.2/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/ninja-gaiden-sigma-2-plus.html
The Binding of Isaac: Rebirth,PS Vita,"action,beat-em-up",EU,Nicalis,"4,467","2,963","November 4, 2014",2.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/the-binding-of-isaac-rebirth.html
WipEout 2048,PS Vita,racing,WW,Sony Computer Entertainment,"5,391","2,830",19 January 2012,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/wipeout-2048.html
Steins;Gate,PS Vita,adventure,EU,PQube,"3,019","2,806","August 25, 2015",3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/steinsgate.html
Hatsune Miku: Project DIVA F,PS Vita,arcade,EU,SEGA,"3,884","2,782","March 4, 2014",4.5/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/hatsune-miku-project-diva-f.html
Sonic &amp; All-Stars Racing Transformed,PS Vita,racing,WW,SEGA,"4,424","2,772","November 16, 2012",4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/sonic-all-stars-racing-transformed.html
Metal Gear Solid 2: Sons of Liberty HD Edition,PS Vita,"action,adventure",EU,Konami,"3,048","2,608","August 21, 2012",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/metal-gear-solid-2-sons-of-liberty-hd-edition.html
God Eater 2: Rage Burst,PS Vita,action,EU,Bandai Namco,"3,340","2,574",None,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/god-eater-2-rage-burst.html
Plants Vs. Zombies,PS Vita,strategy,WW,PopCap Games,"2,922","2,487","May 5, 2009",3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/plants-vs-zombies-3.html
LEGO Ninjago Shadow of Ronin,PS Vita,"action,adventure",EU,Warner Bros. Interactive Entertainment,"3,298","2,478","March 24, 2015",4.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/lego-ninjago-shadow-of-ronin-2.html
Muramasa Rebirth,PS Vita,"action,role-playing",JP,Aksys Games,"2,228","2,433",28th Mar 2013,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/muramasa-rebirth.html
Hatsune Miku: Project Diva X,PS Vita,other,EU,PlayStation Vita,"2,390","2,402",30th Aug 2016 ,4.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/hatsune-miku-project-diva-x.html
Dai-3-Ji Super Robot Taisen Z Tengoku-hen,PS Vita,strategy,JP,Bandai Namco Games,"4,494","2,361","April 2, 2015",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/dai-3-ji-super-robot-taisen-z-tengoku-hen.html
10 Second Ninja X,PS Vita,"action,platformer",EU,Curve Digital,"1,537","2,358","July 19, 2016",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/10-second-ninja-x.html
Tales of Hearts R,PS Vita,role-playing,WW,Bandai Namco Games,"3,466","2,335","March 7, 2013",4.4/5 (16 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/tales-of-hearts.html
Freedom Wars,PS Vita,"action,role-playing",WW,Sony Computer Entertainment,"3,425","2,238","June 26, 2014",3.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/freedom-wars.html
Taiko no Tatsujin V,PS Vita,"action,other",Asia,Bandai Namco Games,"3,081","2,234","July 9, 2015",2.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/taiko-no-tatsujin-v.html
FIFA 14,PS Vita,sport,WW,EA,"4,645","2,232","September 23, 2013",4.1/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/fifa-14.html
Resistance: Burning Skies,PS Vita,other,WW,Sony Computer Entertainment,"3,031","2,189","May 29, 2012",4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/resistance-burning-skies.html
Super Meat Boy,PS Vita,platformer,EU,Team Meat,"2,978","2,177",6th Oct 2015,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/super-meat-boy.html
Digimon Story: Cyber Sleuth,PS Vita,role-playing,EU,Bandai Namco,"5,009","2,162",None,3.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/digimon-story-cyber-sleuth.html
Virtua Tennis 4: World Tour Edition,PS Vita,sport,EU,SEGA,"2,449","2,118",None,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/virtua-tennis-4-world-tour-edition.html
Danganronpa V3: Killing Harmony,PS Vita,adventure,WW,Spike Chunsoft,"5,410","2,115","January 12, 2017",4.1/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/danganronpa-v3-killing-harmony.html
Injustice: Gods Among Us Ultimate Edition,PS Vita,"action,fighting",WW,Armature Studio,"4,358","2,105",None,4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/injustice-gods-among-us-ultimate-edition.html
Dragon Quest Builders,PS Vita,adventure,JP,Square Enix,"3,348","2,102",28th Jan 2016,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/dragon-quest-builders-2.html
Danganronpa Another Episode: Ultra Despair Girls,PS Vita,"action,adventure",EU,NIS America,"3,904","2,081","September 1, 2015",3.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/danganronpa-another-episode-ultra-despair-girls.html
Rayman Legends &amp; Rayman Origins,PS Vita,platformer,EU,Ubisoft,"3,126","2,078","June 4, 2015",3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/rayman-legends-rayman-origins.html
Ys VIII: Lacrimosa of DANA,PS Vita,role-playing,EU,NIS America,"4,668","2,062","September 12, 2017",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/ys-viii-lacrimosa-of-dana.html
PlayStation All Stars Battle Royale,PS Vita,"action,fighting",WW,Sony Computer Entertainment,"4,054","2,055"," November 20, 2012",3.1/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/playstation-all-stars-battle-royale.html
SteamWorld Dig,PS Vita,platformer,EU,Image &amp; Form,"3,254","1,990",18th Mar 2014,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/steamworld-dig.html
Terraria,PS Vita,"action,adventure",WW,505 Games,"3,304","1,983","May 16, 2011",2.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/terraria-2.html
Gundam Breaker 3,PS Vita,action,JP,Bandai Namco,"3,438","1,977",3rd Mar 2016,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/gundam-breaker-3.html
World of Final Fantasy,PS Vita,role-playing,EU,Square Enix,"4,318","1,956","October 25, 2016",4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/world-of-final-fantasy.html
High School DxD: New Fight,PS Vita,role-playing,JP,Marvelous Inc.,"4,278","1,923","August 28, 2014",3.5/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/high-school-dxd-new-fight.html
Silent Hill: Book of Memories,PS Vita,other,WW,Konami Digital Entertainment,"3,618","1,923","October 16, 2012",5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/silent-hill-book-of-memories.html
Mobile Suit Gundam: Extreme VS Force,PS Vita,fighting,Asia,Unknown,"3,736","1,891",23 December 2015,3.1/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/mobile-suit-gundam-extreme-vs-force.html
Ninja Gaiden Sigma Plus,PS Vita,action,EU,Tecmo Koei,"2,359","1,873",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/ninja-gaiden-sigma-plus.html
A.O.T. Wings of Freedom,PS Vita,"action,beat-em-up",EU,Koei Tecmo,"3,783","1,826","February 18, 2016",4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/a-o-t-wings-of-freedom.html
