name,console,genre,region,publisher,views,download,released,rate,site,link
God of War II,PS2,role-playing,Asia,Sony Computer Entertainment,"89,613","81,475","March 13, 2007",4.1/5 (144 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/god-of-war-ii.html
God of War,PS2,"action,adventure",WW,SCEA,"61,449","63,283","March 22, 2005",4.2/5 (52 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/god-of-war.html
Resident Evil 4 (Biohazard 4),PS2,other,DE,Capcom,"50,090","41,711","January 11, 2005",4.2/5 (64 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/resident-evil-4.html
Grand Theft Auto – San Andreas,PS2,"action,adventure",WW,Rockstar Games,"53,041","41,533",26 October 2004,4.1/5 (58 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/grand-theft-auto-san-andreas.html
Tekken 5,PS2,action,EU,Namco,"33,790","35,856",None,3.9/5 (42 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/tekken-5.html
Need for Speed – Underground 2,PS2,racing,EU,Electronic Arts,"33,874","35,482",None,3.8/5 (36 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/need-for-speed-underground-2.html
WWE SmackDown! Here Comes the Pain,PS2,action,EU,THQ,"34,126","35,109",None,3.6/5 (41 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/wwe-smackdown-here-comes-the-pain.html
Downhill Domination,PS2,racing,EU,Unknown,"59,349","34,686",None,4.1/5 (34 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/downhill-domination.html
Need for Speed – Most Wanted (and Black Edition),PS2,racing,WW,Electronic Arts,"20,839","28,984",None,4.1/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/need-for-speed-most-wanted-and-black-edition.html
Gran Turismo 4,PS2,racing,EU,Sony Computer Entertainment,"17,095","27,959",None,3.6/5 (44 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/gran-turismo-4.html
Metal Gear Solid 2: Sons of Liberty,PS2,"action,adventure",None,Konami,"8,070","26,277",None,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-2/metal-gear-solid-2-sons-of-liberty.html
DragonBall Z – Budokai 3,PS2,fighting,EU,Bandai,"33,417","25,716","November 2, 2002",4.1/5 (26 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-2/dragonball-z-budokai-3.html
