name,console,genre,region,publisher,views,download,released,rate,site,link
Pokemon Sun Sky and Moon Galaxy (Pokemon FireRed Hack),GBA,role-playing,WW,Ishrak's PokeTips &amp; Gohan's Tips,"6,566","2,971",Unknown,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sun-sky-and-moon-galaxy-pokemon-firered-hack.html
Pokemon Ruby,GBA,"adventure,role-playing",EU,Nintendo,"3,574","2,920",2003,4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-ruby.html
Pokemon Johto League,GBA,puzzle,WW,Nitendo,"9,038","2,892",Unknown,4/5 (34 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-johto-league.html
Pokemon FireRed Rocket Edition,GBA,role-playing,WW,Nintendo,"5,847","2,879",Unknown,3.5/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-firered-rocket-edition.html
Dragon Ball Z Team Training,GBA,role-playing,WW,Nintendo,"6,726","2,873",Unknown,3.8/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/dragon-ball-z-team-training.html
Pokemon Leaf Green,GBA,adventure,EU,Nintendo,"3,697","2,823",09/2004,3.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-leaf-green.html
Fire Emblem,GBA,role-playing,EU,Nintendo,"2,584","2,765",2003,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/fire-emblem.html
The Legend Of Zelda – A Link To The Past,GBA,role-playing,EU,Nintendo,"3,119","2,734",2002,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/the-legend-of-zelda-a-link-to-the-past.html
Mario &amp; Luigi – Superstar Saga,GBA,other,EU,Nintendo,"3,007","2,614",2003,3.6/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/mario-luigi-superstar-saga.html
Pokemon Sapphire,GBA,role-playing,EU,Nintendo,"3,078","2,609",2003,4.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sapphire.html
Sonic Advance 3,GBA,adventure,EU,THQ Inc.,"2,858","2,529",2004,4.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sonic-advance-3.html
Moemon Devil 3RdX,GBA,role-playing,WW,Nintendo,"5,758","2,485",Unknown,4/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/moemon-devil-3rdx.html
Kirby &amp; the Amazing Mirror,GBA,adventure,EU,Nintendo,"2,839","2,417",2004,4.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/kirby-the-amazing-mirror.html
Dragon Ball Z: Advanced Adventure,GBA,"adventure,role-playing",EU,Atari,"2,659","2,376",2005,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/dragon-ball-z-advanced-adventure.html
Pokemon Clover (Pokemon FireRed Hack),GBA,role-playing,WW,4chan's,"6,625","2,328",Unknown,3.8/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-clover-pokemon-firered-hack.html
Sonic Advance,GBA,adventure,EU,SEGA,"2,558","2,304",2002,3.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sonic-advance.html
Castlevania: Aria of Sorrow,GBA,action,EU,Konami,"2,378","2,245",2003,3.9/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/castlevania-aria-of-sorrow.html
Pokemon Flora Sky (Pokemon Emerald Hack),GBA,role-playing,WW,12345,"3,367","2,229",Unknown,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-flora-sky-pokemon-emerald-hack.html
Advance Wars,GBA,"racing,strategy",EU,Nintendo,"1,844","2,210",2001,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/advance-wars.html
Pokemon Pokemon Mega Evolution (Pokemon FireRed Hack),GBA,role-playing,WW,Deepak,"4,533","2,170",Unknown,4.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-pokemon-mega-evolution-pokemon-firered-hack.html
Sword of Mana,GBA,role-playing,EU,Nintendo,"2,051","2,157",2003,3.4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sword-of-mana.html
Pokemon Blue Kaizo (Pokemon Blue Hack),GBA,role-playing,WW,SinisterHoodedFigure,"3,556","2,147",Unknown,3.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-blue-kaizo-pokemon-blue-hack.html
Final Fantasy VI Advance,GBA,role-playing,EU,Square-Enix / Eidos,"2,436","2,124",2007,3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/final-fantasy-vi-advance.html
Pokemon Sweet Version (Pokemon FireRed Hack),GBA,role-playing,WW,Channini,"5,614","2,120",Unknown,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sweet-version-pokemon-firered-hack.html
Pokemon AshGray (Pokemon FireRed Hack),GBA,role-playing,WW,metapod23,"4,471","2,111",Unknown,3.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-ashgray-pokemon-firered-hack-2.html
Pokemon DarkViolet (Pokemon FireRed Hack),GBA,role-playing,WW,Chaos Rush,"5,057","2,051",Unknown,3.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-darkviolet-pokemon-firered-hack.html
Metal Slug Advance,GBA,"action,adventure",EU,UTV Ignition Entertainment,"2,330","2,022",2004,2.8/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/metal-slug-advance.html
Spider-Man 3: The Game,GBA,action,US,Activision Blizzard,"1,484","2,012",2007,3.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/spider-man-3-the-game.html
Mario Golf: Advance Tour,GBA,sport,EU,Nintendo,"1,707","2,012",2004,2.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/mario-golf-advance-tour.html
Sonic Battle,GBA,arcade,EU,THQ Inc.,"2,564","2,000",2004,4/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sonic-battle.html
Sonic Advance 2,GBA,"action,platformer",EU,JP: Sega/ NA: THQ/ EU: Infogrames,"1,892","1,978",None,3.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sonic-advance-2.html
Yoshi’s Island: Super Mario Advance 3,GBA,action,US,Nintendo,"2,101","1,977",Unknown,4.3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/yoshis-island-super-mario-advance-3.html
The Legend of Zelda: A Link to the Past and Four Swords,GBA,"action,adventure",EU,Nintendo,"2,469","1,939","December 2, 2002",2.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/the-legend-of-zelda-a-link-to-the-past-and-four-swords.html
Pokemon Emerald Multiplayer (Pokemon Emerald Hack),GBA,role-playing,WW,TenmaRH,"4,145","1,929",Unknown,4.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-emerald-multiplayer-pokemon-emerald-hack.html
Final Fantasy Tactics Advance,GBA,role-playing,EU,Nintendo,"1,965","1,829",2003,3.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/final-fantasy-tactics-advance.html
Pokemon Sinnoh Legacy (Pokemon FireRed Hack),GBA,role-playing,WW,kearnseyboy6,"4,894","1,806",Unknown,4.4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sinnoh-legacy-pokemon-firered-hack.html
Street Fighter Alpha 3,GBA,fighting,EU,Capcom,"2,091","1,790",2002,4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/street-fighter-alpha-3.html
Castlevania: Harmony of Dissonance,GBA,role-playing,EU,Konami,"2,008","1,768",2002,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/castlevania-harmony-of-dissonance.html
Pac-Man World,GBA,action,EU,BANDAI NAMCO Entertainment,"1,425","1,768",2004,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pac-man-world.html
Pokemon Platinum Red (Pokemon FireRed Hack),GBA,role-playing,WW,None,"3,516","1,749",Unknown,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-platinum-red-pokemon-firered-hack.html
Pokemon New FireRed,GBA,role-playing,WW,Nintendo,"4,166","1,714","September 7, 2004",3.9/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-new-firered.html
Pokemon Fusion Origins (Pokemon FireRed Hack),GBA,role-playing,WW,Lil Raph,"3,717","1,693",Unknown,4.1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-fusion-origins-pokemon-firered-hack.html
Dragonball Z – Supersonic Warriors,GBA,fighting,EU,Bandai,"1,762","1,675",None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/dragonball-z-supersonic-warriors.html
Fire Emblem – The Sacred Stones,GBA,strategy,EU,Nintendo,"1,964","1,676",2005,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/fire-emblem-the-sacred-stones.html
DONKEY KONG COUNTRY 3,GBA,platformer,EU,Nintendo,"1,604","1,653",Unknown,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/donkey-kong-country-3-2.html
Doom II,GBA,action,EU,Activision Blizzard,"1,695","1,637",2002,4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/doom-ii.html
Grand Theft Auto Advance,GBA,action,EU,Rockstar Games,"2,036","1,597",2004,4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/grand-theft-auto-advance.html
Harvest Moon: Friends of Mineral Town,GBA,simulator,EU,Natsume,"2,119","1,596",2003,4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/harvest-moon-friends-of-mineral-town.html
Oggy and the Cockroaches,GBA,arcade,US,Unknown,"3,039","1,589",2005,4.3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/oggy-and-the-cockroaches.html
Mario Vs. Donkey Kong,GBA,"platformer,puzzle",AU,Nintendo,"1,773","1,563",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/mario-vs-donkey-kong.html
Final Fantasy V Advance,GBA,role-playing,EU,Square Enix,"1,436","1,565",2007,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/final-fantasy-5-advance.html
Justice League Heroes: The Flash,GBA,"action,platformer",,Warner Bros. Games,"1,084","1,561",None,2.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/justice-league-heroes-the-flash.html
Pokemon Ultra Blaze (Pokemon FireRed Hack),GBA,role-playing,WW,Tom301 AirXD Callosa,"3,316","1,559",Unknown,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-ultra-blaze-pokemon-firered-hack.html
Pokemon Mystery Dungeon: Red Rescue Team,GBA,"adventure,role-playing",EU,Nintendo,"1,847","1,556","November 17, 2005",5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-mystery-dungeon-red-rescue-team.html
Virus Digimon,GBA,role-playing,WW,Nintendo,"3,783","1,545",Unknown,4.3/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/virus-digimon.html
Crash Bandicoot XS (Paracox),GBA,"adventure,arcade",EU,Unknown,"2,104","1,540",Unknown,4.3/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/crash-bandicoot-xs-paracox.html
Pokemon Theta Emerald Renev (Pokemon Emerald Hack),GBA,role-playing,WW,LCCoolJ95,"3,198","1,536",Unknown,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-theta-emerald-renev-pokemon-emerald-hack.html
Dragon Ball Z: The Legacy of Goku II,GBA,role-playing,EU,Atari / Infogrames,"1,986","1,524",2003,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/dragon-ball-z-the-legacy-of-goku-ii.html
Mario Party Advance,GBA,other,EU,Nintendo,"1,767","1,506",2005,4.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/mario-party-advance.html
Beyblade G-Revolution,GBA,role-playing,EU,Unknown,"1,798","1,485",Unknown,4.3/5 (16 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/beyblade-g-revolution.html
Pokemon Blazed Glazed (Pokemon Emerald Hack),GBA,role-playing,WW,tudou,"2,901","1,479",Unknown,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-blazed-glazed-pokemon-emerald-hack.html
Kingdom Hearts: Chain of Memories,GBA,role-playing,EU,Square-Enix / Eidos,"1,747","1,473",2004,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/kingdom-hearts-chain-of-memories-2.html
Megaman Zero 2,GBA,"action,adventure",EU,Capcom,"1,658","1,465",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/megaman-zero-2.html
Pokemon Emerald Enhanced (Pokemon Emerald Hack),GBA,role-playing,WW,Ryuhouji,"2,841","1,444",Unknown,4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-emerald-enhanced-pokemon-emerald-hack.html
