name,console,region,rating,size,link,site
Metroid Prime 2: Echoes,GameCube,US English,4.33 (85 votes),1.04 GB,https://www.romsgames.net/gamecube-rom-metroid-prime-2-echoes/,https://www.romsgames.net/
Shonen Jump's One Piece: Grand Adventure,GameCube,US English,3.94 (250 votes),958 MB,https://www.romsgames.net/gamecube-rom-shonen-jumps-one-piece-grand-adventure/,https://www.romsgames.net/
Star Fox Adventures,GameCube,US English,4.26 (76 votes),438 MB,https://www.romsgames.net/gamecube-rom-star-fox-adventures/,https://www.romsgames.net/
Kirby Air Ride,GameCube,US English,4.25 (108 votes),586 MB,https://www.romsgames.net/gamecube-rom-kirby-air-ride/,https://www.romsgames.net/
Spider-Man 2,GameCube,US English,4.06 (174 votes),1.06 GB,https://www.romsgames.net/gamecube-rom-spider-man-2/,https://www.romsgames.net/
Pikmin,GameCube,US English,4.23 (93 votes),514 MB,https://www.romsgames.net/gamecube-rom-pikmin/,https://www.romsgames.net/
Resident Evil 3: Nemesis,GameCube,US English,4.25 (120 votes),654 MB,https://www.romsgames.net/gamecube-rom-resident-evil-3-nemesis/,https://www.romsgames.net/
Dragon Ball Z: Sagas,GameCube,US English,4.24 (205 votes),899 MB,https://www.romsgames.net/gamecube-rom-dragon-ball-z-sagas/,https://www.romsgames.net/
Mario Party 4,GameCube,US English,4.40 (108 votes),303 MB,https://www.romsgames.net/gamecube-rom-mario-party-4/,https://www.romsgames.net/
Mario Party 6,GameCube,US English,4.24 (63 votes),543 MB,https://www.romsgames.net/gamecube-rom-mario-party-6/,https://www.romsgames.net/
Digimon Rumble Arena 2,GameCube,US English,4.16 (147 votes),629 MB,https://www.romsgames.net/gamecube-rom-digimon-rumble-arena-2/,https://www.romsgames.net/
Prince of Persia: The Sands of Time,GameCube,US English,4.04 (137 votes),1.20 GB,https://www.romsgames.net/gamecube-rom-prince-of-persia-the-sands-of-time/,https://www.romsgames.net/
Need for Speed: Underground,GameCube,US English,4.12 (125 votes),729 MB,https://www.romsgames.net/gamecube-rom-need-for-speed-underground/,https://www.romsgames.net/
Wario World,GameCube,US English,4.13 (76 votes),176 MB,https://www.romsgames.net/gamecube-rom-wario-world/,https://www.romsgames.net/
Resident Evil Zero,GameCube,US English,4.17 (146 votes),894 MB,https://www.romsgames.net/gamecube-rom-resident-evil-zero/,https://www.romsgames.net/
Mario Superstar Baseball,GameCube,US English,4.18 (66 votes),485 MB,https://www.romsgames.net/gamecube-rom-mario-superstar-baseball/,https://www.romsgames.net/
F-Zero GX,GameCube,US English,4.17 (53 votes),1.20 GB,https://www.romsgames.net/gamecube-rom-f-zero-gx/,https://www.romsgames.net/
Nickelodeon SpongeBob SquarePants in: Battle for Bikini Bottom,GameCube,US English,4.40 (156 votes),672 MB,https://www.romsgames.net/gamecube-rom-nickelodeon-spongebob-squarepants-in-battle-for-bikini-bottom/,https://www.romsgames.net/
Harvest Moon: A Wonderful Life,GameCube,US English,4.04 (160 votes),197 MB,https://www.romsgames.net/gamecube-rom-harvest-moon-a-wonderful-life/,https://www.romsgames.net/
Spartan: Total Warrior,GameCube,US English,4.25 (354 votes),701 MB,https://www.romsgames.net/gamecube-rom-spartan-total-warrior/,https://www.romsgames.net/
Pikmin 2,GameCube,US English,4.38 (55 votes),728 MB,https://www.romsgames.net/gamecube-rom-pikmin-2/,https://www.romsgames.net/
Naruto: Clash of Ninja 2,GameCube,US English,4.12 (169 votes),512 MB,https://www.romsgames.net/gamecube-rom-naruto-clash-of-ninja-2/,https://www.romsgames.net/
Super Monkey Ball,GameCube,US English,4.45 (55 votes),241 MB,https://www.romsgames.net/gamecube-rom-super-monkey-ball/,https://www.romsgames.net/
Soulcalibur II,GameCube,US English,3.77 (52 votes),609 MB,https://www.romsgames.net/gamecube-rom-soulcalibur-ii/,https://www.romsgames.net/
Sonic Mega Collection,GameCube,US English,4.19 (109 votes),792 MB,https://www.romsgames.net/gamecube-rom-sonic-mega-collection/,https://www.romsgames.net/
Sonic Gems Collection,GameCube,US English,4.25 (134 votes),1.07 GB,https://www.romsgames.net/gamecube-rom-sonic-gems-collection/,https://www.romsgames.net/
Resident Evil 2,GameCube,US English,4.17 (108 votes),1 GB,https://www.romsgames.net/gamecube-rom-resident-evil-2/,https://www.romsgames.net/
