name,console,region,rating,size,link,site
Disney's Tarzan,Nintendo 64,US English,3.86 (176 votes),14.7 MB,https://www.romsgames.net/nintendo-64-rom-disneys-tarzan/,https://www.romsgames.net/
Mario Tennis,Nintendo 64,US English,4.01 (120 votes),14.7 MB,https://www.romsgames.net/nintendo-64-rom-mario-tennis/,https://www.romsgames.net/
Star Wars Episode I: Racer,Nintendo 64,US English,3.91 (106 votes),25.2 MB,https://www.romsgames.net/nintendo-64-rom-star-wars-episode-i-racer/,https://www.romsgames.net/
Perfect Dark,Nintendo 64,US English,4.04 (101 votes),29.8 MB,https://www.romsgames.net/nintendo-64-rom-perfect-dark/,https://www.romsgames.net/
Killer Instinct Gold (V1.2),Nintendo 64,US English,4.09 (141 votes),12.0 MB,https://www.romsgames.net/nintendo-64-rom-killer-instinct-gold-v12/,https://www.romsgames.net/
WWF No Mercy (V1.1),Nintendo 64,US English,4.04 (152 votes),25.9 MB,https://www.romsgames.net/nintendo-64-rom-wwf-no-mercy-v11/,https://www.romsgames.net/
Turok - Dinosaur Hunter (V1.2),Nintendo 64,US English,4.08 (131 votes),7.59 MB,https://www.romsgames.net/nintendo-64-rom-turok---dinosaur-hunter-v12/,https://www.romsgames.net/
Hot Wheels: Turbo Racing,Nintendo 64,US English,3.89 (152 votes),11.2 MB,https://www.romsgames.net/nintendo-64-rom-hot-wheels-turbo-racing/,https://www.romsgames.net/
Duke Nukem 64,Nintendo 64,US English,3.94 (110 votes),7.44 MB,https://www.romsgames.net/nintendo-64-rom-duke-nukem-64/,https://www.romsgames.net/
Mega Man 64,Nintendo 64,US English,4.17 (131 votes),27.9 MB,https://www.romsgames.net/nintendo-64-rom-mega-man-64/,https://www.romsgames.net/
Paper Mario (v2),Nintendo 64,US English,4.06 (179 votes),22.6 MB,https://www.romsgames.net/nintendo-64-rom-paper-mario-v2/,https://www.romsgames.net/
007: The World Is Not Enough,Nintendo 64,US English,4.08 (145 votes),26.3 MB,https://www.romsgames.net/nintendo-64-rom-007-the-world-is-not-enough/,https://www.romsgames.net/
Star Wars: Rogue Squadron,Nintendo 64,US English,4.04 (75 votes),14.2 MB,https://www.romsgames.net/nintendo-64-rom-star-wars-rogue-squadron/,https://www.romsgames.net/
Army Men: Sarge's Heroes,Nintendo 64,US English,4.10 (125 votes),5.26 MB,https://www.romsgames.net/nintendo-64-rom-army-men-sarges-heroes/,https://www.romsgames.net/
Cruis'n World,Nintendo 64,US English,4.22 (69 votes),11.0 MB,https://www.romsgames.net/nintendo-64-rom-cruisn-world/,https://www.romsgames.net/
Harvest Moon 64,Nintendo 64,US English,4.05 (103 votes),6.28 MB,https://www.romsgames.net/nintendo-64-rom-harvest-moon-64/,https://www.romsgames.net/
FIFA 99,Nintendo 64,US English,3.92 (165 votes),13.9 MB,https://www.romsgames.net/nintendo-64-rom-fifa-99/,https://www.romsgames.net/
Earthworm Jim 3D,Nintendo 64,US English,4.18 (112 votes),11.0 MB,https://www.romsgames.net/nintendo-64-rom-earthworm-jim-3d/,https://www.romsgames.net/
Turok 2: Seeds of Evil,Nintendo 64,US English,3.69 (80 votes),29.3 MB,https://www.romsgames.net/nintendo-64-rom-turok-2-seeds-of-evil/,https://www.romsgames.net/
Excitebike 64,Nintendo 64,US English,3.91 (100 votes),15.6 MB,https://www.romsgames.net/nintendo-64-rom-excitebike-64/,https://www.romsgames.net/
Mortal Kombat Mythologies: Sub-Zero,Nintendo 64,US English,3.85 (113 votes),13.6 MB,https://www.romsgames.net/nintendo-64-rom-mortal-kombat-mythologies-sub-zero/,https://www.romsgames.net/
Tom and Jerry in Fists of Furry,Nintendo 64,US English,3.98 (129 votes),8.01 MB,https://www.romsgames.net/nintendo-64-rom-tom-and-jerry-in-fists-of-furry/,https://www.romsgames.net/
Castlevania,Nintendo 64,US English,3.96 (72 votes),9.64 MB,https://www.romsgames.net/nintendo-64-rom-castlevania/,https://www.romsgames.net/
1080 TenEighty Snowboarding,Nintendo 64,US English,3.85 (71 votes),11.5 MB,https://www.romsgames.net/nintendo-64-rom-1080-teneighty-snowboarding/,https://www.romsgames.net/
Tony Hawk's Pro Skater 2,Nintendo 64,US English,4.08 (88 votes),15.3 MB,https://www.romsgames.net/nintendo-64-rom-tony-hawks-pro-skater-2/,https://www.romsgames.net/
Tom Clancy's Rainbow Six,Nintendo 64,US English,4.10 (86 votes),13.9 MB,https://www.romsgames.net/nintendo-64-rom-tom-clancys-rainbow-six/,https://www.romsgames.net/
Vigilante 8: 2nd Offense,Nintendo 64,US English,3.84 (88 votes),11.1 MB,https://www.romsgames.net/nintendo-64-rom-vigilante-8-2nd-offense/,https://www.romsgames.net/
Wave Race 64 (V1.1),Nintendo 64,US English,3.82 (50 votes),6.17 MB,https://www.romsgames.net/nintendo-64-rom-wave-race-64-v11/,https://www.romsgames.net/
Super Mario 64 - Shindou Edition,Nintendo 64,US English,3.84 (110 votes),6.28 MB,https://www.romsgames.net/nintendo-64-rom-super-mario-64---shindou-edition/,https://www.romsgames.net/
Quake,Nintendo 64,US English,4.26 (62 votes),11.5 MB,https://www.romsgames.net/nintendo-64-rom-quake/,https://www.romsgames.net/
Star Wars: Shadows of the Empire,Nintendo 64,US English,3.88 (66 votes),11.7 MB,https://www.romsgames.net/nintendo-64-rom-star-wars-shadows-of-the-empire/,https://www.romsgames.net/
Scooby-Doo! Classic Creep Capers,Nintendo 64,US English,3.90 (103 votes),10.0 MB,https://www.romsgames.net/nintendo-64-rom-scooby-doo-classic-creep-capers/,https://www.romsgames.net/
007 - Golden Eye,Nintendo 64,US English,3.80 (92 votes),10.7 MB,https://www.romsgames.net/nintendo-64-rom-007---golden-eye/,https://www.romsgames.net/
WCW-nWo Revenge,Nintendo 64,US English,3.98 (98 votes),11.9 MB,https://www.romsgames.net/nintendo-64-rom-wcw-nwo-revenge/,https://www.romsgames.net/
Gauntlet Legends,Nintendo 64,US English,4.08 (53 votes),14.5 MB,https://www.romsgames.net/nintendo-64-rom-gauntlet-legends/,https://www.romsgames.net/
